Product Name,Price,Image URL,Image Path
"AMBIO VITAMINAS C (APELSINŲ SKONIO), 20 tirpiųjų tablečių",4.48,https://gintarinestorageprod.blob.core.windows.net/gintarine/0051538_ambio-vitaminas-c-20-tirpiuju-tableciu.jpeg,"downloaded_images\AMBIO VITAMINAS C (APELSINŲ SKONIO), 20 tirpiųjų tablečių.jpg"
"AMBIO LIPOSOMINIS VITAMINAS C SU KVERCETINU, 30 kapsulių",14.99,https://gintarinestorageprod.blob.core.windows.net/gintarine/0051616_ambio-liposominis-vitaminas-c-su-kvercetinu-30-kietuju-kapsuliu.jpeg,"downloaded_images\AMBIO LIPOSOMINIS VITAMINAS C SU KVERCETINU, 30 kapsulių.jpg"
"AMBIO  VITAMINAS C VAIKAMS, 60 guminukų",9.98,https://gintarinestorageprod.blob.core.windows.net/gintarine/0052383_ambio-vitaminas-c-vaikams-60-guminuku.jpeg,"downloaded_images\AMBIO  VITAMINAS C VAIKAMS, 60 guminukų.jpg"
"JAMIESON VITAMINAS C TIRPUSIS, 1000 mg, 10 tirpiųjų tablečių",8.54,https://gintarinestorageprod.blob.core.windows.net/gintarine/0035258_jamieson-vitaminas-c-tirpusis-1000-mg-10-tirpiuju-tableciu.jpeg,"downloaded_images\JAMIESON VITAMINAS C TIRPUSIS, 1000 mg, 10 tirpiųjų tablečių.jpg"
"AMBIO VITAMINAS C 500 mg, 56 kramtomųjų tablečių",6.48,https://gintarinestorageprod.blob.core.windows.net/gintarine/0051548_ambio-vitaminas-c-500-mg-56-kramtomuju-tableciu.jpeg,"downloaded_images\AMBIO VITAMINAS C 500 mg, 56 kramtomųjų tablečių.jpg"
"JAMIESON VITAMINAS C APELSINŲ SKONIO, 500 mg, 100 kramtomųjų tablečių",16.14,https://gintarinestorageprod.blob.core.windows.net/gintarine/0035248_jamieson-vitaminas-c-apelsinu-skonio-500-mg-100-kramtomuju-tableciu.jpeg,"downloaded_images\JAMIESON VITAMINAS C APELSINŲ SKONIO, 500 mg, 100 kramtomųjų tablečių.jpg"
"JAMIESON VITAMINAS C MIX, 500 mg, 120  kramtomųjų tablečių",18.04,https://gintarinestorageprod.blob.core.windows.net/gintarine/0035253.jpeg,"downloaded_images\JAMIESON VITAMINAS C MIX, 500 mg, 120  kramtomųjų tablečių.jpg"
"CURESUPPORT, vitaminas C liposomose, apelsinų skonio, 250 ml",22.99,https://gintarinestorageprod.blob.core.windows.net/gintarine/0038325_curesupport-vitaminas-c-liposomose-apelsinu-skonio-250-ml.jpeg,"downloaded_images\CURESUPPORT, vitaminas C liposomose, apelsinų skonio, 250 ml.jpg"
"NORDAID VITAMINAS C LIPOSOMOSE, 1000mg, serumas, 50 paspaudimų, 50ml",19.99,https://gintarinestorageprod.blob.core.windows.net/gintarine/0046464_nordaid-vitaminas-c-liposomose-1000mg-serumas-50-paspaudimu-50ml.jpeg,"downloaded_images\NORDAID VITAMINAS C LIPOSOMOSE, 1000mg, serumas, 50 paspaudimų, 50ml.jpg"
"EQUILIBRA natūralus vitaminas C, apelsinų skonio, 30 kramtomųjų tablečių",14.50,https://gintarinestorageprod.blob.core.windows.net/gintarine/0054666_equilibra-naturalus-vitaminas-c-apelsinu-skonio-30-kramtomuju-tableciu.jpeg,"downloaded_images\EQUILIBRA natūralus vitaminas C, apelsinų skonio, 30 kramtomųjų tablečių.jpg"
